"id","name","position","department","salary","email","dob","office","home_address","hired_date","contract","nin","emergency_name","emergency_relationship","emergency_phone"
"1221265","Russ Cutchie","Factory Worker","Operations","25416.00","Russ.Cutchie@kilburnazon.com","1985-09-08","Northern Ireland Distribution Centre","661 Gale Road","2015-02-15","Part-Time","BZ630455D",,,"07070 997812"
"1221452","Harriott Pinn","Factory Worker","Operations","29230.00","Harriott.Pinn@kilburnazon.com","2009-05-28","Northern Ireland Distribution Centre","94695 Oak Valley Drive","2015-05-04","Full-Time","SB900295A","Ella Huygen",,"07527 612710"
"1221709","Emmey Hirtz","Factory Worker","Operations","27263.00","Emmey.Hirtz@kilburnazon.com","2005-11-30","England South Distribution Centre","2 Sunfield Parkway","2020-07-31","Full-Time","GV786046B","Aigneis Mollatt","Husband","07136 161512"
"1221792","Gregg Schiell","Factory Worker","Operations","25773.00","Gregg.Schiell@kilburnazon.com","1978-10-02","Northern Ireland Distribution Centre","4 Bay Street","2023-10-10","Full-Time","FD270800C","Jerri Allan","Husband",
"1221832","Cristin Loudian","Factory Worker","Operations","29058.00","Cristin.Loudian@kilburnazon.com","1989-06-18","England Central Distribution Centre","86 Fairview Drive","2016-04-27","Full-Time","OM263026A","Brantley Zanetti",,"07889 556088"
"1221908","Lock McCurrie","Factory Worker","Operations","26375.00","Lock.McCurrie@kilburnazon.com","2004-07-21","England South Distribution Centre","25218 Eastlawn Terrace","2022-07-19","Full-Time","PU212720A","Adoree Tomkies","Boyfriend","07083 955300"
"11123211","Elon Bazos","CEO","Executive","49180.00","Elon.Bazos@kilburnazon.com","1974-04-12","Kilburn Building","534 Moulton Avenue","2014-02-15","Full-Time","RE885173B","Stanislas Tunnow","Wife","07208 300969"
"11214682","Jarvis Kare","PA","Executive","75000.00","Jarvis.Kare@kilburnazon.com","1981-03-06","Kilburn Building","75631 Hazelcrest Court","2015-11-16","Full-Time","DF625255C","Pittem Kare","Wife",
"11223214","Sarah Turing","CTO","Executive","45876.00","Sarah.Turing@kilburnazon.com","1977-08-23","Kilburn Building","462 Westerfield Road","2017-12-02","Full-Time","LQ649084C","Agosto Hoggan","Boyfriend","07760 801643"
"11224403","Steve Hopper","CMO","Executive","31520.00","Steve.Hopper@kilburnazon.com","1986-08-27","Kilburn Building","21917 Forest Place","2015-11-11","Full-Time","BG154525C",,"Civil Partner","07279 090043"
"11226496","Jeff Lovelace","CFO","Executive","30032.00","Jeff.Lovelace@kilburnazon.com","1976-12-15","Kilburn Building","2 Waubesa Terrace","2016-07-16","Full-Time","SY194109A",,"Boyfriend","07786 830672"
"11229804","Tracey Gates","COO","Executive","47215.00","Tracey.Gates@kilburnazon.com","1977-10-26","Kilburn Building","29916 Elmside Center","2017-07-26","Full-Time","AN593683D","Karlens Kilfether",,"07770 850 516"
"12110062","Sheela Plews","Health & Safety Officer","Operations","28546.00","Sheela.Plews@kilburnazon.com","2004-12-04","England South Distribution Centre","424 Nancy Terrace","2017-08-16","Part-Time","SE804347A","Briant Tall","Girlfriend",
"12111088","Tierney Saura","Health & Safety Officer","Operations","33774.00","Tierney.Saura@kilburnazon.com","2003-08-20","Wales Distribution Centre","36 Fordem Way","2023-02-16","Full-Time","IB336855D",,,"07776 617476"
"12111522","Marten Eskrick","Health & Safety Officer","Operations","29570.00","Marten.Eskrick@kilburnazon.com","1988-02-11","Wales Distribution Centre","0488 Michigan Avenue","2021-12-23","Part-Time","HO238829D","Isador Struttman","Girlfriend","07228 700712"
"12112639","Aurilia Dove","Health & Safety Officer","Operations","23283.00","Aurilia.Dove@kilburnazon.com","1998-09-27","Scotland Distribution Centre","1 Corry Court","2023-03-05","Full-Time","MZ652678D","Stanly Grindell","Wife","07325 756690"
"12112712","Jenda Cohrs","Health & Safety Officer","Operations","32861.00","Jenda.Cohrs@kilburnazon.com","2000-12-25","England North Distribution Centre","85093 Stuart Point","2023-11-23","Part-Time","IE617692A","Elsworth Roskruge","Wife","07301 166168"
"12112750","Carol Paolozzi","Health & Safety Officer","Operations","25195.00","Carol.Paolozzi@kilburnazon.com","1983-07-26","England South Distribution Centre","56 John Wall Point","2016-09-25","Part-Time","ME002330D","Jone Phelp","Wife","07727 912036"
"12113642","Scarface Gavaran","Health & Safety Officer","Operations","29686.00","Scarface.Gavaran@kilburnazon.com","1996-09-23","England Central Distribution Centre","51060 Anderson Drive","2023-08-30","Full-Time","WF788117C","Jaynell Sprey","Girlfriend","07997 333416"
"12113666","Edythe Colisbe","Health & Safety Officer","Operations","27512.00","Edythe.Colisbe@kilburnazon.com","2008-07-04","England North Distribution Centre","7244 Northland Alley","2019-07-04","Full-Time","MO232288B",,"Civil Partner","07749 087584"
"12114168","Cymbre Braiden","Health & Safety Officer","Operations","22947.00","Cymbre.Braiden@kilburnazon.com","1984-03-09","Northern Ireland Distribution Centre","0 Artisan Road","2022-04-23","Full-Time","LD278104D","Danette Dines",,"07777 784214"
"12116288","Deeanne Westoll","Health & Safety Officer","Operations","34693.00","Deeanne.Westoll@kilburnazon.com","1977-12-06","England Central Distribution Centre","412 North Street","2016-09-21","Full-Time","XR656206B","Zeke Vennings","Wife","07647 152752"
"12116601","Christie Pischoff","Health & Safety Officer","Operations","23242.00","Christie.Pischoff@kilburnazon.com","1981-10-15","Scotland Distribution Centre","39695 Sunbrook Plaza","2017-01-05","Full-Time","YN332435C","Illa O'Hanley","Husband","07632 770322"
"12118412","Bordy Langhorne","Health & Safety Officer","Operations","33345.00","Bordy.Langhorne@kilburnazon.com","1993-05-06","Northern Ireland Distribution Centre","2 North Way","2016-03-02","Full-Time","QS763259D","Chrysa Stodd","Husband","07196 158363"
"12211065","Francis Horsted","Factory Worker","Operations","23375.00","Francis.Horsted@kilburnazon.com","1988-07-25","Northern Ireland Distribution Centre","7 Crownhardt Plaza","2023-07-29","Full-Time","GP190594B","Vittorio Deacock","Father","07635 422929"
"12211197","Salmon Petegre","Factory Worker","Operations","22669.00","Salmon.Petegre@kilburnazon.com","1978-11-11","Wales Distribution Centre","65790 Buell Plaza","2023-03-31","Full-Time","VH028029C","Mitchell Slessar","Wife","07217 353647"
"12211317","Park Smallridge","Factory Worker","Operations","29224.00","Park.Smallridge@kilburnazon.com","2008-12-28","England North Distribution Centre","18 Hauk Place","2017-10-26","Full-Time","XJ058657D",,"Wife","07764 434396"
"12211356","Brook Ewington","Factory Worker","Operations","24899.00","Brook.Ewington@kilburnazon.com","1995-08-24","England Central Distribution Centre","2337 Schurz Park","2018-12-31","Part-Time","PJ845064C","Elmer Viccars",,"07734 615318"
"12211384","Colman Quinion","Factory Worker","Operations","26857.00","Colman.Quinion@kilburnazon.com","1995-06-23","Scotland Distribution Centre","906 Menomonie Circle","2019-03-29","Part-Time","AG066537A",,"Mother","07831 106222"
"12211435","Tommie Roxbrough","Factory Worker","Operations","26893.00","Tommie.Roxbrough@kilburnazon.com","2007-09-13","England North Distribution Centre","81047 Summerview Trail","2021-08-24","Full-Time","MC945932A","Hobey Couchman",,"07765 987470"
